0.000500, 0.000746
0.001000, 0.001492
0.001500, 0.002237
0.002000, 0.002981
0.002500, 0.003724
0.003000, 0.004467
0.003500, 0.005209
0.004000, 0.005950
0.004500, 0.006691
0.005000, 0.007430
0.005500, 0.008169
0.006000, 0.008907
0.006500, 0.009645
0.007000, 0.010381
0.007500, 0.011117
0.008000, 0.011852
0.008500, 0.012587
0.009000, 0.013321
0.009500, 0.014053
0.010000, 0.014786
0.010500, 0.015517
0.011000, 0.016248
0.011500, 0.016978
0.012000, 0.017707
0.012500, 0.018435
0.013000, 0.019163
0.013500, 0.019890
0.014000, 0.020616
0.014500, 0.021342
0.015000, 0.022067
0.015500, 0.022791
0.016000, 0.023514
0.016500, 0.024236
0.017000, 0.024958
0.017500, 0.025679
0.018000, 0.026399
0.018500, 0.027119
0.019000, 0.027838
0.019500, 0.028556
0.020000, 0.029273
0.020500, 0.029990
0.021000, 0.030705
0.021500, 0.031421
0.022000, 0.032135
0.022500, 0.032848
0.023000, 0.033561
0.023500, 0.034273
0.024000, 0.034985
0.024500, 0.035695
0.025000, 0.036405
0.025500, 0.037115
0.026000, 0.037823
0.026500, 0.038531
0.027000, 0.039238
0.027500, 0.039944
0.028000, 0.040649
0.028500, 0.041354
0.029000, 0.042058
0.029500, 0.042761
0.030000, 0.043464
0.030500, 0.044166
0.031000, 0.044867
0.031500, 0.045567
0.032000, 0.046267
0.032500, 0.046965
0.033000, 0.047664
0.033500, 0.048361
0.034000, 0.049058
0.034500, 0.049754
0.035000, 0.050449
0.035500, 0.051143
0.036000, 0.051837
0.036500, 0.052530
0.037000, 0.053222
0.037500, 0.053914
0.038000, 0.054604
0.038500, 0.055294
0.039000, 0.055984
0.039500, 0.056672
0.040000, 0.057360
0.040500, 0.058047
0.041000, 0.058734
0.041500, 0.059419
0.042000, 0.060104
0.042500, 0.060788
0.043000, 0.061472
0.043500, 0.062155
0.044000, 0.062837
0.044500, 0.063518
0.045000, 0.064198
0.045500, 0.064878
0.046000, 0.065557
0.046500, 0.066236
0.047000, 0.066913
0.047500, 0.067590
0.048000, 0.068266
0.048500, 0.068942
0.049000, 0.069617
0.049500, 0.070291
0.050000, 0.070964
0.050500, 0.071636
0.051000, 0.072308
0.051500, 0.072979
0.052000, 0.073650
0.052500, 0.074319
0.053000, 0.074988
0.053500, 0.075656
0.054000, 0.076324
0.054500, 0.076991
0.055000, 0.077657
0.055500, 0.078322
0.056000, 0.078986
0.056500, 0.079650
0.057000, 0.080313
0.057500, 0.080976
0.058000, 0.081638
0.058500, 0.082298
0.059000, 0.082959
0.059500, 0.083618
0.060000, 0.084277
0.060500, 0.084935
0.061000, 0.085592
0.061500, 0.086249
0.062000, 0.086905
0.062500, 0.087560
0.063000, 0.088215
0.063500, 0.088868
0.064000, 0.089521
0.064500, 0.090174
0.065000, 0.090825
0.065500, 0.091476
0.066000, 0.092126
0.066500, 0.092776
0.067000, 0.093425
0.067500, 0.094073
0.068000, 0.094720
0.068500, 0.095366
0.069000, 0.096012
0.069500, 0.096657
0.070000, 0.097302
0.070500, 0.097946
0.071000, 0.098589
0.071500, 0.099231
0.072000, 0.099872
0.072500, 0.100513
0.073000, 0.101153
0.073500, 0.101793
0.074000, 0.102432
0.074500, 0.103070
0.075000, 0.103707
0.075500, 0.104343
0.076000, 0.104979
0.076500, 0.105614
0.077000, 0.106249
0.077500, 0.106883
0.078000, 0.107516
0.078500, 0.108148
0.079000, 0.108779
0.079500, 0.109410
0.080000, 0.110040
0.080500, 0.110670
0.081000, 0.111299
0.081500, 0.111927
0.082000, 0.112554
0.082500, 0.113181
0.083000, 0.113807
0.083500, 0.114432
0.084000, 0.115056
0.084500, 0.115680
0.085000, 0.116303
0.085500, 0.116926
0.086000, 0.117547
0.086500, 0.118168
0.087000, 0.118788
0.087500, 0.119408
0.088000, 0.120027
0.088500, 0.120645
0.089000, 0.121262
0.089500, 0.121879
0.090000, 0.122495
0.090500, 0.123111
0.091000, 0.123725
0.091500, 0.124339
0.092000, 0.124952
0.092500, 0.125565
0.093000, 0.126177
0.093500, 0.126788
0.094000, 0.127398
0.094500, 0.128008
0.095000, 0.128617
0.095500, 0.129225
0.096000, 0.129833
0.096500, 0.130440
0.097000, 0.131046
0.097500, 0.131651
0.098000, 0.132256
0.098500, 0.132860
0.099000, 0.133464
0.099500, 0.134066
0.100000, 0.134668
0.100500, 0.135270
0.101000, 0.135870
0.101500, 0.136470
0.102000, 0.137069
0.102500, 0.137668
0.103000, 0.138266
0.103500, 0.138863
0.104000, 0.139459
0.104500, 0.140055
0.105000, 0.140650
0.105500, 0.141245
0.106000, 0.141838
0.106500, 0.142431
0.107000, 0.143023
0.107500, 0.143615
0.108000, 0.144206
0.108500, 0.144796
0.109000, 0.145385
0.109500, 0.145974
0.110000, 0.146562
0.110500, 0.147150
0.111000, 0.147737
0.111500, 0.148323
0.112000, 0.148908
0.112500, 0.149493
0.113000, 0.150076
0.113500, 0.150660
0.114000, 0.151242
0.114500, 0.151824
0.115000, 0.152405
0.115500, 0.152986
0.116000, 0.153566
0.116500, 0.154145
0.117000, 0.154723
0.117500, 0.155301
0.118000, 0.155878
0.118500, 0.156455
0.119000, 0.157030
0.119500, 0.157605
0.120000, 0.158180
0.120500, 0.158753
0.121000, 0.159326
0.121500, 0.159898
0.122000, 0.160470
0.122500, 0.161041
0.123000, 0.161611
0.123500, 0.162181
0.124000, 0.162749
0.124500, 0.163318
0.125000, 0.163885
0.125500, 0.164452
0.126000, 0.165018
0.126500, 0.165583
0.127000, 0.166148
